label_id	tomogram	DMVs	Virions	DMVs Opening	DMS	connectors	Fused DMVs	zER	Peroxisomes	Golgi	VTC	ER	Mitochondria	MVB/Lys	Lamellar Bodies	Lipid droplets	autophagosomes	Glycogen clusters	Nucleus	PM	anchor_x	anchor_y	anchor_z	bb_min_x	bb_min_y	bb_min_z	bb_max_x	bb_max_y	bb_max_z
1.0	1	1	1	0	0	1	1	0	0	0	0	1	1	1	0	0	0	0	0	0	1.5602159999999987	1.5602160000000052	0.1569540000000021	0.0	0.0	0.043512	3.120432	3.120432	0.270396
2.0	2	1	1	0	0	1	0	0	1	1	1	1	0	1	0	0	0	0	0	0	4.9044239999999215	1.5602160000000012	0.1569540000000045	3.344208	0.0	0.059052	6.46464	3.120432	0.2548559999999999
3.0	3	1	1	1	0	1	0	1	1	0	0	1	1	0	0	0	0	0	1	0	8.248631999999969	1.5602160000000052	0.1569540000000021	6.688416	0.0	0.043512	9.808848	3.120432	0.270396
4.0	4	1	0	0	0	1	0	0	1	0	0	1	0	0	1	1	0	0	1	0	11.592840000000026	1.5602160000000005	0.1569539999999994	10.032624	0.0	0.040404	13.153056	3.120432	0.2735039999999999
5.0	5	1	0	0	0	0	0	0	1	0	0	1	1	0	0	1	1	1	1	0	14.93704800000003	1.5602160000000032	0.1569540000000013	13.376832	0.0	0.052836	16.497264	3.120432	0.2610719999999999
6.0	6	1	1	0	0	1	0	0	1	0	1	1	1	0	1	1	1	1	1	0	18.28125599999997	1.5602160000000014	0.1569540000000031	16.721040000000002	0.0	0.04662	19.841472	3.120432	0.267288
7.0	7	1	1	0	0	1	1	0	1	1	1	1	1	0	0	0	1	0	0	0	21.625464000000072	1.5602160000000052	0.1569540000000022	20.065248	0.0	0.04662	23.18568	3.120432	0.267288
8.0	8	1	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	1	0	24.969672	1.5602160000000007	0.1569540000000014	23.409456	0.0	0.04662	26.529888	3.120432	0.267288
9.0	9	1	1	1	0	1	1	0	1	1	1	1	1	0	0	0	0	1	0	0	28.31388000000005	1.5602160000000054	0.1569540000000016	26.753664	0.0	0.0497279999999999	29.874096	3.120432	0.26418
10.0	10	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0	31.658088000000035	1.5602160000000005	0.1569539999999998	30.097872	0.0	0.04662	33.218304	3.120432	0.267288
11.0	11	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	1	0	0	1.5602159999999987	4.904423999999942	0.1569540000000023	0.0	3.344208	0.04662	3.120432	6.46464	0.267288
12.0	12	1	1	0	0	1	0	1	1	1	1	1	1	0	1	0	1	0	0	0	4.904423999999888	4.9044239999999455	0.1569539999999991	3.344208	3.344208	0.0341879999999999	6.46464	6.46464	0.2797199999999999
13.0	13	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	8.248631999999963	4.904423999999969	0.1569540000000026	6.688416	3.344208	0.043512	9.808848	6.46464	0.270396
14.0	14	1	0	0	0	1	0	0	1	0	0	1	1	0	0	1	0	0	1	0	11.592839999999864	4.904423999999951	0.1569540000000032	10.032624	3.344208	0.0	13.153056	6.46464	0.313908
15.0	15	1	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	1	0	14.937048000000026	4.904423999999947	0.1569540000000006	13.376832	3.344208	0.0497279999999999	16.497264	6.46464	0.26418
16.0	16	1	0	0	0	1	0	0	1	0	0	1	1	0	1	1	0	0	0	0	18.28125599999997	4.9044239999999695	0.1569540000000035	16.721040000000002	3.344208	0.04662	19.841472	6.46464	0.267288
17.0	17	1	1	0	0	1	1	0	1	1	1	1	1	0	0	0	0	0	0	0	21.62546400000005	4.904423999999925	0.1569540000000019	20.065248	3.344208	0.055944	23.18568	6.46464	0.2579639999999999
18.0	18	0	1	0	0	0	0	0	0	0	0	1	1	1	0	1	1	0	0	0	24.969672	4.904423999999904	0.1569540000000024	23.409456	3.344208	0.040404	26.529888	6.46464	0.2735039999999999
19.0	19	1	1	0	0	0	0	0	0	1	1	1	1	0	0	1	0	0	0	0	28.313880000000037	4.904423999999947	0.1569540000000006	26.753664	3.344208	0.0497279999999999	29.874096	6.46464	0.26418
20.0	20	1	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	31.65808800000001	4.904423999999971	0.1569540000000017	30.097872	3.344208	0.059052	33.218304	6.46464	0.2548559999999999
21.0	21	1	0	0	0	1	1	0	1	0	0	1	1	1	0	1	0	1	0	0	1.5602159999999987	8.248632000000214	0.1569540000000025	0.0	6.688416	0.0341879999999999	3.120432	9.808848	0.2797199999999999
22.0	22	1	1	0	0	1	0	0	1	1	1	1	1	0	1	0	0	0	1	0	4.904423999999906	8.248631999999867	0.1569540000000072	3.344208	6.688416	0.027972	6.46464	9.808848	0.285936
23.0	23	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	8.248631999999956	8.248632000000251	0.1569540000000077	6.688416	6.688416	0.06216	9.808848	9.808848	0.251748
24.0	24	1	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	11.592840000000033	8.248631999999931	0.1569540000000031	10.032624	6.688416	0.059052	13.153056	9.808848	0.2548559999999999
25.0	25	1	1	0	0	0	1	0	0	0	0	1	1	1	0	0	0	1	0	0	14.937048000000043	8.248632000000223	0.1569540000000016	13.376832	6.688416	0.0497279999999999	16.497264	9.808848	0.26418
26.0	26	1	1	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	1	18.28125599999997	8.248631999999995	0.1569540000000031	16.721040000000002	6.688416	0.04662	19.841472	9.808848	0.267288
27.0	27	1	1	0	0	1	1	0	1	1	1	1	1	0	1	0	0	0	1	0	21.625464000000072	8.248632000000223	0.1569540000000022	20.065248	6.688416	0.04662	23.18568	9.808848	0.267288
28.0	28	1	1	1	0	1	1	0	1	1	0	1	1	1	0	0	0	0	0	0	24.969672	8.24863199999996	0.1569540000000014	23.409456	6.688416	0.04662	26.529888	9.808848	0.267288
29.0	29	1	1	0	1	1	0	0	1	1	1	1	1	1	1	0	0	0	1	0	28.313880000000054	8.248632000000223	0.1569540000000022	26.753664	6.688416	0.04662	29.874096	9.808848	0.267288
30.0	30	1	1	0	0	0	0	0	0	1	1	1	1	0	0	1	0	0	0	0	31.658088000000014	8.248631999999956	0.156954000000001	30.097872	6.688416	0.055944	33.218304	9.808848	0.2579639999999999
31.0	31	1	1	0	0	0	0	0	0	1	1	1	1	0	0	0	0	1	0	0	1.5602160000000007	11.592840000000036	0.1569539999999993	0.0	10.032624	0.043512	3.120432	13.153056	0.270396
32.0	32	1	0	0	1	1	1	0	0	0	0	1	1	0	0	0	0	1	0	0	4.904423999999925	11.592840000000102	0.1569540000000019	3.344208	10.032624	0.04662	6.46464	13.153056	0.267288
33.0	33	1	1	0	0	1	0	0	1	1	1	1	1	1	0	0	0	1	1	0	8.248631999999963	11.592840000000036	0.1569539999999993	6.688416	10.032624	0.04662	9.808848	13.153056	0.267288
34.0	34	1	1	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	11.592840000000026	11.592840000000002	0.1569540000000036	10.032624	10.032624	0.052836	13.153056	13.153056	0.2610719999999999
35.0	35	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	14.937048000000017	11.592840000000038	0.1569540000000002	13.376832	10.032624	0.052836	16.497264	13.153056	0.2610719999999999
36.0	36	1	1	0	0	1	1	0	1	0	0	1	1	0	0	0	0	1	1	0	18.281255999999978	11.592840000000038	0.1569540000000013	16.721040000000002	10.032624	0.059052	19.841472	13.153056	0.2548559999999999
37.0	37	1	1	0	1	1	0	0	1	0	0	1	1	0	1	0	0	0	0	0	21.62546400000005	11.592840000000036	0.1569539999999993	20.065248	10.032624	0.04662	23.18568	13.153056	0.267288
